Machine,Start,End,Length,Jobs on Machine
M73,3131,3136,5,"GU, GV, GW, GX, GY"
M74,3140,3163,23,"GZ, HA, HB, HC"
M75,3171,3187,16,"HD, HE, HF"
M76,3191,3208,17,"HG, HH"
M77,3221,3258,37,"HI, HJ, HK, HL"
M78,3258,3294,36,"HM, HN, HO, HP, HQ"
M79,3297,3303,6,"HR, HS"
M80,3313,3316,3,"HT, HU, HV, HW, HX"
M81,3314,3316,2,HY
M82,3317,3384,67,"HZ, IA, IB"
M83,3386,3394,8,"IC, ID, IE, IF"
M84,3427,3428,1,IG
M85,3432,3444,12,"IH, II, IJ, IK"
M86,3444,3461,17,IL
M87,3461,3480,19,"IM, IN, IO, IP, IQ"
M88,3484,3577,93,"IR, IS, IT, IU, IV"
M89,3567,3578,11,"IW, IX, IY, IZ"
M90,3592,3600,8,"JA, JB"
M91,3639,3642,3,"JC, JD, JE, JF, JG"
M92,3646,3649,3,"JH, JI"
M93,3647,3663,16,"JJ, JK"
M94,3668,3669,1,"JL, JM, JN, JO, JP"
M95,3680,3694,14,"JQ, JR, JS, JT, JU"
M96,3694,3695,1,"JV, JW"
M97,3699,3749,50,"JX, JY, JZ, KA, KB"
M98,3768,3888,120,"KC, KD, KE"
M99,3889,3898,9,"KF, KG, KH, KI"
M100,3906,3917,11,KJ
M101,3913,3929,16,"KK, KL, KM, KN, KO"
M102,3929,3933,4,"KP, KQ, KR, KS, KT"
M103,3938,3949,11,"KU, KV, KW, KX"
M104,3949,3963,14,"KY, KZ, LA, LB, LC"
M105,3981,3993,12,"LD, LE, LF, LG, LH"
M106,3998,4031,33,"LI, LJ, LK, LL, LM"
M107,4032,4033,1,"LN, LO, LP"
M108,4033,4052,19,LQ
M109,4042,4044,2,"LR, LS, LT"
M110,4057,4061,4,LU
M111,4065,4078,13,"LV, LW, LX, LY"
M112,4103,4107,4,"LZ, MA, MB"
M113,4111,4125,14,"MC, MD"
M114,4128,4140,12,"ME, MF"
M115,4143,4165,22,"MG, MH, MI"
M116,4166,4176,10,"MJ, MK"
M117,4172,4296,124,"ML, MM, MN, MO, MP"
M118,4301,4327,26,"MQ, MR, MS, MT"
M119,4348,4388,40,"MU, MV"
M120,4403,4407,4,"MW, MX, MY, MZ, NA"
M121,4407,4425,18,"NB, NC, ND"
M122,4427,4510,83,NE
M123,4513,4565,52,"NF, NG"
M124,4570,4574,4,"NH, NI"
M125,4575,4579,4,NJ
M126,4592,4683,91,"NK, NL"
M127,4683,4790,107,"NM, NN, NO"
M128,4794,4800,6,"NP, NQ, NR"
M129,4802,4820,18,"NS, NT, NU"
M130,4825,4838,13,NV
M131,4842,4860,18,"NW, NX, NY"
M132,4862,4899,37,"NZ, OA, OB"
M133,4916,4921,5,"OC, OD, OE"
M134,4925,4939,14,"OF, OG, OH"
M135,4945,4948,3,"OI, OJ"
