Machine,Start,End,Length,Jobs on Machine
M68,2360,2481,121,"GP, GQ, GR"
M69,2464,2470,6,"GS, GT"
M70,2510,2519,9,"GU, GV, GW, GX, GY"
M71,2520,2528,8,GZ
M72,2532,2534,2,"HA, HB"
M73,2535,2548,13,"HC, HD, HE, HF"
M74,2551,2557,6,"HG, HH, HI"
M75,2564,2604,40,HJ
M76,2609,2671,62,"HK, HL"
M77,2672,2678,6,HM
M78,2682,2734,52,"HN, HO, HP"
M79,2735,2775,40,"HQ, HR, HS, HT"
M80,2782,2790,8,"HU, HV, HW"
M81,2784,2788,4,HX
M82,2791,2840,49,"HY, HZ"
M83,2843,2914,71,"IA, IB, IC, ID, IE"
M84,2954,3057,103,"IF, IG, IH, II, IJ"
M85,3058,3113,55,"IK, IL, IM, IN"
M86,3117,3118,1,"IO, IP, IQ"
M87,3120,3124,4,"IR, IS, IT"
M88,3125,3134,9,"IU, IV, IW"
M89,3131,3154,23,"IX, IY, IZ, JA, JB"
M90,3158,3160,2,"JC, JD, JE"
M91,3177,3190,13,"JF, JG, JH, JI, JJ"
M92,3191,3255,64,JK
M93,3242,3312,70,"JL, JM, JN, JO, JP"
M94,3315,3355,40,"JQ, JR, JS, JT"
M95,3362,3370,8,JU
M96,3370,3499,129,"JV, JW, JX, JY, JZ"
M97,3483,3492,9,"KA, KB"
M98,3508,3519,11,KC
M99,3523,3539,16,"KD, KE, KF"
M100,3551,3584,33,KG
M101,3579,3587,8,"KH, KI, KJ, KK, KL"
M102,3588,3593,5,"KM, KN, KO, KP, KQ"
M103,3596,3601,5,"KR, KS, KT"
M104,3602,3604,2,"KU, KV, KW, KX"
M105,3624,3671,47,"KY, KZ, LA, LB, LC"
M106,3673,3679,6,LD
M107,3683,3714,31,LE
M108,3718,3722,4,"LF, LG, LH"
M109,3723,3743,20,LI
M110,3754,3766,12,LJ
M111,3771,3789,18,"LK, LL, LM, LN, LO"
M112,3809,3827,18,LP
M113,3815,3817,2,"LQ, LR"
M114,3817,3832,15,"LS, LT, LU, LV, LW"
M115,3843,3858,15,"LX, LY, LZ"
M116,3859,3877,18,MA
M117,3864,3867,3,"MB, MC, MD, ME"
M118,3872,3875,3,"MF, MG, MH, MI"
M119,3908,3949,41,"MJ, MK, ML, MM, MN"
M120,3955,3977,22,MO
M121,3970,3981,11,"MP, MQ, MR, MS"
M122,3981,3990,9,"MT, MU, MV"
M123,3992,3996,4,"MW, MX, MY, MZ"
M124,3997,4001,4,NA
M125,4005,4041,36,"NB, NC, ND, NE, NF"
M126,4072,4089,17,"NG, NH"
M127,4093,4094,1,"NI, NJ, NK, NL"
M128,4096,4097,1,"NM, NN, NO, NP"
M129,4097,4099,2,"NQ, NR, NS"
M130,4113,4123,10,NT
M131,4128,4170,42,"NU, NV, NW"
M132,4170,4182,12,"NX, NY, NZ, OA, OB"
M133,4196,4206,10,"OC, OD"
M134,4206,4210,4,"OE, OF, OG, OH, OI"
M135,4219,4225,6,"OJ, OK, OL, OM, ON"
M136,4225,4319,94,OO
M137,4303,4380,77,"OP, OQ, OR, OS, OT"
M138,4383,4413,30,"OU, OV"
M139,4416,4516,100,"OW, OX, OY, OZ"
M140,4550,4551,1,"PA, PB, PC"
M141,4553,4562,9,"PD, PE"
M142,4562,4611,49,"PF, PG, PH, PI, PJ"
M143,4612,4640,28,"PK, PL, PM, PN, PO"
M144,4645,4657,12,"PP, PQ, PR, PS"
M145,4663,4670,7,"PT, PU, PV, PW"
M146,4671,4680,9,PX
M147,4709,4733,24,"PY, PZ"
M148,4735,4737,2,"QA, QB, QC, QD"
M149,4738,4741,3,"QE, QF, QG, QH"
M150,4750,4761,11,"QI, QJ, QK, QL"
M151,4764,4767,3,"QM, QN, QO, QP"
M152,4769,4782,13,"QQ, QR, QS, QT, QU"
M153,4773,4848,75,"QV, QW, QX, QY, QZ"
M154,4885,4934,49,"RA, RB, RC, RD, RE"
M155,4948,4962,14,RF
M156,4964,5101,137,"RG, RH, RI, RJ, RK"
M157,5102,5234,132,"RL, RM, RN"
M158,5235,5332,97,RO
M159,5333,5352,19,"RP, RQ, RR, RS"
M160,5358,5369,11,"RT, RU"
M161,5378,5509,131,"RV, RW, RX, RY, RZ"
M162,5510,5512,2,"SA, SB, SC, SD"
M163,5512,5523,11,"SE, SF"
