Busy Time
Capacity
6
Job,Release,Deadline,processingTime
FY,1818,1874,6
FZ,1828,1857,6
GA,1830,1973,30
GB,1807,1971,30
GC,1843,1875,30
GD,1874,1910,28
GE,1856,1911,28
GF,1859,1908,28
GG,1871,1953,28
GH,1868,1956,28
GI,1838,1975,14
GJ,1830,2001,14
GK,1916,2027,103
GL,2020,2029,4
GM,2000,2033,4
GN,2015,2030,4
GO,2013,2049,4
GP,2013,2051,4
GQ,1979,2127,4
GR,2008,2120,13
GS,2034,2053,13
GT,2037,2053,13
GU,2013,2056,13
GV,2055,2128,48
GW,2065,2166,48
GX,2067,2152,48
GY,2042,2196,20
GZ,2067,2201,20
HA,2105,2130,20
HB,2103,2126,20
HC,2101,2137,20
HD,2104,2135,7
HE,2130,2187,11
HF,2128,2166,11
HG,2084,2226,11
HH,2082,2191,11
HI,2134,2148,11
HJ,2135,2150,11
HK,2144,2219,54
HL,2138,2216,54
HM,2149,2239,54
HN,2142,2256,54
HO,2089,2307,54
HP,2126,2283,2
HQ,2194,2201,2
HR,2193,2199,2
HS,2183,2207,2
HT,2191,2209,2
HU,2192,2250,2
HV,2196,2221,2
HW,2141,2322,2
HX,2152,2250,2
HY,2238,2358,118
HZ,2236,2360,118
IA,2226,2366,118
IB,2342,2383,16
IC,2351,2411,16
ID,2354,2391,16
IE,2347,2433,16
IF,2313,2424,3
IG,2368,2373,3
IH,2375,2470,92
II,2446,2492,14
IJ,2453,2486,14
IK,2467,2500,14
IL,2464,2526,14
IM,2402,2503,14
IN,2461,2607,3
IO,2484,2492,3
IP,2484,2491,3
IQ,2472,2490,3
IR,2481,2498,3
IS,2477,2513,3
IT,2489,2538,17
IU,2451,2596,17
IV,2419,2590,17
IW,2541,2589,41
IX,2542,2588,41
IY,2528,2594,41
IZ,2524,2593,41
JA,2536,2631,41
JB,2580,2641,17
JC,2529,2638,17
JD,2511,2664,17
JE,2588,2607,17
JF,2607,2613,4
JG,2586,2620,4
JH,2597,2614,4
JI,2606,2653,4
JJ,2605,2669,2
JK,2565,2719,2
JL,2577,2709,28
JM,2617,2651,28
JN,2652,2686,29
JO,2641,2688,29
JP,2632,2688,29
JQ,2649,2700,29
JR,2645,2715,29
JS,2579,2727,29
JT,2670,2786,22
JU,2719,2746,22
JV,2719,2745,22
JW,2715,2747,22
JX,2697,2756,22
JY,2718,2792,22
JZ,2737,2777,12
KA,2715,2782,12
KB,2690,2860,12
KC,2739,2755,12
KD,2740,2756,12
KE,2738,2760,12
KF,2748,2782,21
KG,2751,2800,21
KH,2759,2802,21
KI,2729,2825,21
KJ,2746,2806,21
KK,2757,2785,21
KL,2785,2836,50
KM,2817,2861,17
KN,2813,2859,17
KO,2849,2915,37
KP,2847,2919,37
KQ,2832,2984,37
KR,2855,3024,30
KS,2890,2926,30
KT,2938,3022,80
KU,2920,3028,80
KV,2936,3026,80
KW,2940,3070,80
KX,2939,3068,80
KY,2881,3070,80
KZ,2942,3121,12
LA,3035,3050,10
LB,3034,3045,10
LC,3019,3059,10
LD,3014,3051,10
LE,3027,3091,10
LF,3026,3092,10
LG,3010,3153,24
LH,2973,3145,24
LI,3045,3073,24
LJ,3044,3074,24
LK,3042,3084,24
LL,3032,3072,24
LM,3065,3132,44
LN,3067,3130,44
LO,2994,3140,44
LP,3058,3315,140
LQ,3107,3254,140
LR,3108,3254,140
LS,3256,3286,16
LT,3254,3288,16
LU,3254,3318,16
LV,3260,3331,16
LW,3242,3340,16
LX,3187,3393,16
LY,3315,3319,1
LZ,3315,3322,1
MA,3291,3329,1
MB,3309,3321,1
MC,3312,3351,1
MD,3310,3337,1
ME,3247,3376,1
MF,3279,3390,1
MG,3320,3327,6
MH,3318,3329,6
MI,3301,3330,6
MJ,3317,3341,6
MK,3311,3346,6
ML,3311,3379,6
MM,3273,3452,17
MN,3248,3423,17
MO,3353,3361,5
MP,3353,3361,5
MQ,3331,3364,5
MR,3342,3369,5
MS,3357,3397,3
MT,3363,3390,3
MU,3292,3447,3
MV,3334,3471,3
MW,3363,3369,3
MX,3360,3367,3
MY,3364,3405,32
MZ,3422,3543,98
NA,3535,3577,10
NB,3533,3588,10
NC,3511,3626,10
ND,3465,3625,10
NE,3555,3573,13
NF,3557,3575,13
NG,3543,3577,13
NH,3547,3573,13
NI,3559,3580,1
NJ,3559,3615,1
NK,3532,3594,5
NL,3550,3642,5
NM,3569,3606,33
NN,3569,3605,33
NO,3555,3614,33
NP,3564,3615,33
NQ,3607,3769,113
NR,3608,3771,113
NS,3579,3827,113
NT,3574,3812,113
NU,3608,3723,113
NV,3606,3726,113
NW,3722,3820,73
NX,3721,3817,73
NY,3815,3864,15
NZ,3808,3870,15
OA,3781,3895,15
OB,3786,3899,4
OC,3834,3840,4
OD,3832,3843,4
OE,3831,3841,4
OF,3830,3992,140
OG,3830,4020,140
OH,3840,4002,140
OI,3823,4030,140
OJ,3808,4033,140
OK,3964,3996,29
OL,3961,3997,29
OM,3949,4002,29
ON,3951,3998,29
OO,3963,4011,29
OP,3957,4029,29
OQ,3921,4202,127
OR,3979,4232,127
OS,3994,4129,127
OT,3994,4128,127
OU,4119,4150,8
OV,4114,4146,8
OW,4120,4193,8
OX,4123,4168,8
OY,4055,4186,8
OZ,4118,4168,8
PA,4172,4217,39
PB,4171,4217,39
PC,4154,4226,39
PD,4154,4216,39
PE,4197,4284,42
PF,4240,4290,8
PG,4212,4320,8
PH,4165,4341,8
PI,4242,4252,8
PJ,4258,4354,95
PK,4247,4363,95
PL,4252,4367,95
PM,4250,4400,95
PN,4259,4380,95
PO,4238,4451,95
PP,4321,4450,16
PQ,4361,4369,5
PR,4368,4377,6
PS,4357,4384,6
PT,4402,4452,41
PU,4399,4471,41
PV,4452,4527,16
PW,4436,4539,16
PX,4393,4507,16
PY,4476,4604,124
PZ,4603,4612,3
QA,4607,4636,18
QB,4611,4639,18
QC,4611,4647,18
QD,4624,4682,1
QE,4605,4750,1
QF,4591,4754,1
QG,4630,4635,1
QH,4632,4636,1
QI,4640,4735,79
QJ,4638,4725,79
QK,4633,4753,79
QL,4642,4761,79
QM,4629,4776,79
QN,4604,4798,79
QO,4744,4791,44
QP,4745,4790,44
QQ,4740,4793,44
QR,4738,4792,44
QS,4743,4814,44
QT,4745,4848,44
QU,4726,4877,12
QV,4724,4865,12
QW,4790,4804,12
QX,4806,4842,34
QY,4790,4857,34
QZ,4792,4850,34
RA,4805,4886,34
RB,4805,4888,34
RC,4805,4962,13
RD,4768,4966,44
RE,4845,4894,44
RF,4846,4892,44
RG,4826,4896,44
RH,4840,4896,44
RI,4839,4935,44
RJ,4894,4964,15
RK,4842,4975,15
RL,4864,5010,15
RM,4911,5049,133
RN,4910,5050,133
RO,4905,5053,133
RP,4888,5060,133
RQ,5045,5096,5
RR,5039,5109,5
RS,4986,5085,5
RT,4983,5167,5
RU,5054,5089,29
RV,5055,5085,29
RW,5039,5093,29
RX,5079,5104,5
RY,5103,5181,51
RZ,5105,5192,51
SA,5025,5221,51
SB,5093,5221,51
SC,5150,5152,1
SD,5155,5171,15
SE,5142,5185,15
SF,5144,5178,15
SG,5147,5227,15
SH,5164,5253,49
SI,5204,5383,52
SJ,5228,5393,15
SK,5287,5309,15
SL,5308,5397,85
SM,5293,5400,85
SN,5285,5404,85
SO,5303,5424,85
SP,5393,5419,4
SQ,5340,5447,4
SR,5337,5467,14
SS,5395,5416,14
ST,5397,5415,14
SU,5402,5556,130
SV,5396,5550,130
SW,5544,5679,94
SX,5547,5688,94
SY,5519,5710,94
SZ,5536,5680,94
TA,5548,5643,94
TB,5654,5666,9
TC,5644,5792,115
TD,5761,5818,25
TE,5777,5820,25
TF,5809,5834,1
TG,5744,5933,1
TH,5740,6023,103
TI,5818,5924,103
TJ,5924,5964,38
TK,5931,5995,40
TL,5924,5994,40
TM,5945,6007,40
TN,5945,6020,40
TO,5998,6086,1
TP,6008,6121,1
TQ,6027,6040,10
TR,6036,6098,55
TS,6057,6102,14
TT,6060,6097,14
TU,6072,6113,14
TV,6075,6121,14
TW,6078,6200,4
TX,6057,6194,4
TY,6097,6108,4
TZ,6098,6104,4
UA,6084,6113,4
UB,6089,6133,16
UC,6103,6155,16
UD,6105,6146,16
UE,6095,6216,1
UF,6110,6158,1
UG,6126,6134,1
UH,6168,6191,18
UI,6145,6201,18
UJ,6165,6195,18
UK,6187,6219,1
UL,6192,6220,2
UM,6137,6294,2
UN,6148,6243,2
UO,6194,6201,2
UP,6193,6201,2
UQ,6184,6212,2
UR,6190,6210,2
US,6192,6224,2
UT,6194,6217,2
UU,6163,6297,2
UV,6189,6368,135
UW,6203,6342,135
UX,6203,6342,135
UY,6183,6342,135
UZ,6178,6353,135
VA,6201,6370,135
VB,6337,6392,16
VC,6284,6377,16
VD,6310,6465,16
VE,6354,6359,2
VF,6356,6362,2
VG,6348,6372,2
VH,6347,6373,2
VI,6355,6375,2
VJ,6366,6433,13
VK,6346,6498,13
VL,6343,6494,13
VM,6374,6389,13
VN,6373,6401,21
VO,6354,6410,21
VP,6393,6458,45
VQ,6406,6493,45
VR,6406,6469,45
VS,6410,6502,9
VT,6421,6562,9
VU,6467,6487,17
VV,6467,6490,17
VW,6456,6501,17
VX,6464,6499,17
VY,6466,6518,17
VZ,6467,6582,77
WA,6532,6593,4
WB,6479,6631,4
WC,6553,6563,4
WD,6574,6701,125
WE,6554,6706,125
WF,6559,6704,125
WG,6574,6741,125
WH,6572,6742,125
WI,6641,6750,14
WJ,6655,6836,14
WK,6705,6725,16
WL,6704,6727,16
WM,6682,6730,16
WN,6723,6852,115
WO,6717,6860,115
WP,6727,6885,115
WQ,6695,6869,115
WR,6714,6921,115
WS,6725,6847,115
WT,6841,6863,16
WU,6867,6886,1
WV,6848,6885,1
WW,6868,6922,1
WX,6865,6925,1
WY,6812,6958,61
WZ,6834,7033,61
XA,6871,6936,61
XB,6870,6934,61
XC,6867,6942,61
XD,6938,6998,27
XE,6959,7014,27
XF,6956,7027,27
XG,6921,7034,27
XH,6928,7123,26
XI,7017,7040,15
XJ,7019,7035,15
XK,6998,7041,15
XL,7014,7043,15
XM,7017,7090,15
XN,7014,7080,15
XO,6998,7146,12
XP,7005,7118,12
XQ,7034,7050,12
XR,7032,7049,12
XS,7024,7058,12
XT,7017,7049,12
XU,7038,7148,86
XV,7044,7160,86
XW,6987,7153,86
XX,7026,7227,86
XY,7132,7154,14
XZ,7134,7153,14
YA,7127,7163,14
YB,7147,7255,96
YC,7144,7305,96
YD,7147,7267,96
YE,7116,7309,96
YF,7111,7297,96
YG,7147,7249,96
YH,7275,7282,4
YI,7258,7291,4
YJ,7271,7282,4
YK,7284,7359,28
YL,7275,7371,28
YM,7232,7426,28
YN,7239,7407,28
YO,7282,7317,28
YP,7316,7354,36
YQ,7312,7360,36
YR,7330,7367,10
YS,7352,7388,10
YT,7345,7422,10
YU,7294,7480,10
YV,7311,7398,10
YW,7350,7364,10
YX,7359,7465,101
YY,7339,7467,101
YZ,7350,7469,101
ZA,7361,7511,101
ZB,7464,7521,8
ZC,7396,7568,8
ZD,7450,7574,8
ZE,7464,7474,8
ZF,7466,7477,8
ZG,7455,7479,8
ZH,7481,7626,133
ZI,7642,7698,13
ZJ,7649,7721,13
ZK,7600,7714,13
ZL,7627,7780,13
ZM,7649,7663,13
ZN,7661,7783,119
ZO,7648,7787,119
ZP,7642,7791,119
ZQ,7777,7809,1
ZR,7781,7825,1
ZS,7716,7863,1
ZT,7766,7979,96
ZU,7787,7887,96
ZV,7892,8001,103
ZW,7868,8002,103
ZX,7882,8010,103
ZY,7973,8051,11
ZZ,7977,8031,11
AAA,7917,8074,14
AAB,7934,8050,14
AAC,7992,8012,14
AAD,8018,8130,110
AAE,8000,8139,110
AAF,8002,8136,110
AAG,8014,8169,110
AAH,8122,8181,3
AAI,8112,8248,3
AAJ,8119,8231,10
AAK,8137,8150,10
AAL,8135,8152,10
AAM,8118,8153,10
AAN,8123,8161,10
AAO,8148,8212,8
AAP,8142,8196,8
AAQ,8089,8269,8
AAR,8084,8218,8
AAS,8147,8163,8
AAT,8161,8211,47
AAU,8151,8212,47
AAV,8152,8224,47
AAW,8162,8263,47
AAX,8211,8361,118
AAY,8287,8384,7
AAZ,8313,8420,10
ABA,8371,8384,10
ABB,8369,8382,10
ABC,8350,8383,10
ABD,8368,8394,10
ABE,8372,8410,9
ABF,8378,8451,9
ABG,8334,8455,10
ABH,8329,8433,10
ABI,8388,8404,10
ABJ,8401,8418,16
ABK,8397,8432,16
ABL,8377,8425,16
ABM,8399,8448,16
ABN,8412,8549,73
ABO,8344,8594,73
ABP,8399,8575,73
ABQ,8420,8495,73
ABR,8503,8507,4
ABS,8501,8520,7
ABT,8501,8526,7
ABU,8499,8557,7
ABV,8504,8576,7
ABW,8491,8635,7
ABX,8493,8628,10
ABY,8526,8541,10
ABZ,8527,8543,10
ACA,8519,8543,10
ACB,8520,8592,38
ACC,8537,8634,38
ACD,8543,8634,38
ACE,8524,8664,12
ACF,8502,8699,12
ACG,8581,8594,12
ACH,8581,8593,12
ACI,8561,8604,12
ACJ,8572,8606,12
ACK,8587,8647,1
ACL,8593,8641,1
ACM,8587,8664,1
ACN,8522,8712,1
ACO,8597,8599,1
ACP,8597,8600,1
ACQ,8585,8617,6
ACR,8576,8622,6
ACS,8604,8736,110
ACT,8598,8758,110
ACU,8552,8786,110
ACV,8594,8832,110
ACW,8718,8740,17
ACX,8748,8765,9
ACY,8742,8764,9
ACZ,8752,8772,4
ADA,8762,8814,12
ADB,8768,8818,12
ADC,8713,8862,12
ADD,8722,8842,12
ADE,8765,8781,12
ADF,8767,8784,12
ADG,8770,8831,36
ADH,8805,8872,42
ADI,8812,8897,42
ADJ,8813,8885,42
ADK,8824,8952,4
ADL,8802,8938,2
ADM,8907,8930,18
ADN,8909,8930,18
ADO,8918,8935,1
ADP,8912,8944,1
ADQ,8928,8958,1
ADR,8922,8955,1
ADS,8889,9050,1
ADT,8905,8964,1
